Flame_retardant_AdditionAmount(wt%),Curing_agent_AdditionAmount(wt%),MW_FR,EEW,AMW_FR,Mp_FR,Mi_FR,RBF_FR,Sp_FR,Curing_Tem1,O%_FR,H%_FR,Si_FR,N%_FR,MCD_FR,MW_EP,C%_FR,Curing_Tem2,ARR_FR,nTA_FR,Curing_Time2,MW_Curing_Agent,RBN_FR,Fsp3_FR,Curing_Time1,Curing_Tem3,nHDon_FR,nDB_FR,AMW_EP,nHet_FR,RFD_FR,AP_FR,AMW_Curing_Agent,nCsp3_FR,nBM_FR,nN_FR,nO_FR,nH_FR,Curing_Time3,max_conj_path_FR,nP_FR,RCI_FR,H-048_FR,GD_FR,NNRS_FR,H-047_FR,H-050_FR,nAA_FR,Mp_Curing_Agent,nArOH_FR,H-052_FR,nHAcc_FR,C-006_FR,Curing_Tem4,nCs_FR,nCbH_FR,C-025_FR,SCBO_FR,nCp_FR,O-059_FR,C-026_FR,nRNHR_FR,O-058_FR,Si_Curing_Agent,nR05_FR,O-057_FR,Rbrid_FR,NRS_FR,H-046_FR,nCb-_FR,nArNH2_FR,nCsp3_Curing_Agent,nHM_FR,nROH_FR,nArOR_FR,O-056_FR,C-005_FR,nBO_FR,nC_FR,C-002_FR,P-116_FR,Sp_Curing_Agent,C%_Curing_Agent,nCt_FR,C-001_FR,LOI
5,19,522.61,196,8.040153846,0.684095385,1.12276,0.085714286,44.4662,120,6.153846154,40,72.9794,9.230769231,0.820512821,340.45,44.61538462,150,0.5,6,2,198.29,6,0.24137931,2,180,0,4,6.947959184,10,0,0.564102564,6.837586207,7,26,6,4,26,2,6,0,1,2,0.059379217,1,10,0,22,0.675165517,0,0,8,0,0,5,8,2,59,2,0,2,0,4,32.4878,4,0,0,6,2,4,0,1,0,0,0,0,0,44,29,3,0,19.5798,44.82758621,0,2,1
5,19,1096.67,196,9.215714286,0.757928571,1.097594958,0.111111111,90.1935,120,8.403361345,38.65546218,130.6138,1.680672269,0.712328767,340.45,47.05882353,150,0.6,8,2,198.29,14,0.071428571,2,180,2,8,6.947959184,17,0.153846154,0.657534247,6.837586207,4,56,2,10,46,2,14,2,1.153846154,2,0.0304414,0.6,38,2,48,0.675165517,0,0,12,0,0,2,34,6,112,0,0,8,0,6,32.4878,0,0,4,6,0,14,0,1,5,0,0,0,0,80,56,2,2,19.5798,44.82758621,0,0,1
5,19,1570.56,196,7.932121212,0.646265152,1.129454545,0.235294118,127.9605,120,15.15151515,45.45454545,223.632,1.515151515,0.388888889,340.45,36.36363636,150,0.315789474,24,2,198.29,48,0.416666667,2,180,12,9,6.947959184,36,0,0.333333333,6.837586207,30,45,3,30,90,2,6,3,1,0,0.01973001,1,60,12,36,0.675165517,0,0,33,18,0,0,24,6,141,18,0,6,0,6,32.4878,0,0,0,7,18,12,0,1,3,12,0,12,0,114,72,0,0,19.5798,44.82758621,0,6,1
5,19,694.76,196,8.078604651,0.713534884,1.105059302,0.097826087,61.364,120,6.976744186,40.69767442,95.0351,2.325581395,0.745098039,340.45,48.8372093,150,0.631578947,6,2,198.29,9,0.095238095,2,180,2,3,6.947959184,9,0.105263158,0.705882353,6.837586207,4,39,2,6,35,2,14,1,1.105263158,0,0.044705882,0.714285714,28,2,36,0.675165517,2,3,8,0,0,0,22,6,78,1,0,8,0,1,32.4878,0,2,2,5,0,14,0,1,1,0,2,0,2,57,42,0,1,19.5798,44.82758621,1,1,1
5,19,1235.16,196,8.698309859,0.745442254,1.099946479,0.08974359,105.8528,120,7.042253521,38.02816901,156.1924,2.816901408,0.840909091,340.45,49.29577465,150,0.647058824,6,2,198.29,14,0.057142857,2,180,6,4,6.947959184,18,0.216216216,0.75,6.837586207,4,70,4,10,54,2,14,4,1.216216216,2,0.026645768,0.466666667,46,6,66,0.675165517,0,0,14,0,0,0,46,12,139,0,0,8,2,4,32.4878,0,0,8,7,0,20,0,1,4,2,0,2,0,102,70,0,4,19.5798,44.82758621,0,0,1
5,19,811.24,196,9.324597701,0.830851724,1.088565517,0.063829787,72.2841,120,12.64367816,39.08045977,94.7052,0,0.924528302,340.45,41.37931034,150,0.6,4,2,198.29,6,0,2,180,4,0,6.947959184,17,0.081632653,0.679245283,6.837586207,0,36,0,11,34,2,6,0,1.06122449,0,0.043541364,0.875,30,4,36,0.675165517,0,0,11,0,0,0,30,0,78,0,7,6,0,0,32.4878,0,0,2,7,0,6,0,1,6,4,0,4,0,60,36,0,0,19.5798,44.82758621,0,0,1
5,19,707.7,196,8.630487805,0.742313415,1.104747561,0.088888889,60.8697,120,4.87804878,37.80487805,90.5893,6.097560976,0.882352941,340.45,48.7804878,150,0.694915254,2,2,198.29,8,0.05,2,180,3,2,6.947959184,11,0.177777778,0.803921569,6.837586207,2,43,5,4,31,2,14,2,1.177777778,2,0.04627451,0.555555556,26,3,41,0.675165517,0,0,8,0,0,0,26,6,81.5,0,0,4,0,2,32.4878,1,0,4,5,0,10,0,1,2,0,0,0,0,59,40,0,2,19.5798,44.82758621,0,0,1
5,19,966.86,196,8.789636364,0.762503636,1.091996364,0.1,83.8754,120,7.272727273,38.18181818,120.1196,0,0.852941176,340.45,50.90909091,150,0.692307692,4,2,198.29,12,0.035714286,2,180,0,4,6.947959184,12,0.137931034,0.794117647,6.837586207,2,58,0,8,42,2,14,4,1.137931034,2,0.034240562,0.636363636,40,0,54,0.675165517,0,0,8,0,0,0,40,6,109,0,2,8,0,4,32.4878,0,0,4,7,0,14,0,1,4,0,0,0,0,78,56,0,4,19.5798,44.82758621,0,0,1
5,19,2356.08,196,9.132093023,0.748327132,1.093022093,0.123674912,193.0684,120,11.62790698,33.72093023,281.9997,0,0.795321637,340.45,52.71317829,150,0.642857143,15,2,198.29,35,0.022058824,2,180,3,12,6.947959184,35,0.147058824,0.736842105,6.837586207,3,138,0,30,87,2,20,5,1.147058824,3,0.013484692,0.615384615,81,3,126,0.675165517,0,0,30,0,0,0,81,20,271,0,0,25,0,12,32.4878,0,0,10,16,0,45,0,1,5,3,3,3,0,196,136,0,5,19.5798,44.82758621,0,0,1
5,19,514.49,196,8.166507937,0.694628571,1.119257143,0.0625,43.7616,120,9.523809524,44.44444444,70.5132,3.174603175,0.685714286,340.45,39.68253968,150,0.666666667,8,2,198.29,4,0.04,2,180,8,2,6.947959184,10,0,0.685714286,6.837586207,1,26,2,6,28,2,8,2,1,0,0.060504202,1,18,8,24,0.675165517,0,0,6,0,0,1,18,2,50,0,0,4,0,2,32.4878,0,0,0,4,2,6,0,1,2,2,0,2,0,36,25,1,0,19.5798,44.82758621,0,0,1
5,19,606.65,196,7.489506173,0.657271605,1.128681481,0.192771084,53.239,120,9.87654321,49.38271605,91.4232,2.469135802,0.43902439,340.45,35.80246914,150,0.418604651,9,2,198.29,16,0.379310345,2,180,4,2,6.947959184,12,0,0.43902439,6.837586207,11,20,2,8,40,2,6,2,1,2,0.052439024,1,19,4,18,0.675165517,2,12,10,4,0,0,11,3,54,5,4,4,0,2,32.4878,0,2,0,3,3,7,0,1,2,0,0,0,0,43,29,0,0,19.5798,44.82758621,0,5,1
5,19,643.61,196,8.816575342,0.744478082,1.106286301,0.0875,54.3469,120,5.479452055,36.98630137,80.7589,6.849315068,0.869565217,340.45,47.94520548,150,0.679245283,2,2,198.29,7,0.057142857,2,180,2,2,6.947959184,11,0.2,0.782608696,6.837586207,2,38,5,4,27,2,14,2,1.2,4,0.051207729,0.5,21,2,36,0.675165517,0,0,9,0,0,0,21,5,73,0,0,4,0,2,32.4878,0,0,4,4,0,9,0,1,2,0,0,0,0,53,35,0,2,19.5798,44.82758621,0,0,1
5,19,1038.03,196,8.578760331,0.748361157,1.099614876,0.090225564,90.5517,120,4.958677686,38.01652893,133.0534,4.132231405,0.88,340.45,50.41322314,150,0.689655172,3,2,198.29,12,0.049180328,2,180,3,3,6.947959184,14,0.181818182,0.8,6.837586207,3,63,5,6,46,2,14,3,1.181818182,3,0.031351351,0.538461538,40,3,60,0.675165517,0,0,11,0,0,0,39,9,120,0,0,6,0,3,32.4878,0,0,6,7,0,15,0,1,3,0,0,0,0,87,61,0,3,19.5798,44.82758621,0,0,1
5,19,3773.84,196,6.166405229,0.579999346,1.160877451,0.312602291,354.9596,120,4.575163399,56.8627451,710.457,11.4379085,0,340.45,27.12418301,150,0,44,2,198.29,191,0.831325301,2,180,72,28,6.947959184,98,0,0,6.837586207,138,28,70,28,348,2,0,0,0,0,0.007575758,0,220,72,0,0.675165517,0,0,98,110,0,28,0,0,291,16,0,0,12,28,32.4878,0,0,0,0,0,0,0,1,0,0,0,0,0,263,166,28,0,19.5798,44.82758621,0,0,1
5,19,615.36,196,9.767619048,0.666933333,1.139514286,0.130434783,42.0168,120,23.80952381,38.0952381,71.7894,4.761904762,0.769230769,340.45,28.57142857,150,0.133333333,3,2,198.29,9,0.833333333,2,180,0,3,6.947959184,21,0.6,0.153846154,6.837586207,15,9,3,15,24,2,6,3,1.4,0,0.060728745,0.571428571,24,0,6,0.675165517,0,0,18,12,0,0,0,0,51,0,9,0,0,3,32.4878,0,0,9,4,0,0,0,1,3,0,3,0,0,45,18,0,0,19.5798,44.82758621,0,0,1
5,19,726.64,196,8.352183908,0.76665977,1.102881609,0.141304348,66.6994,120,3.448275862,49.42528736,95.9507,1.149425287,0.727272727,340.45,39.08045977,150,0.489795918,3,2,198.29,13,0.294117647,2,180,0,0,6.947959184,10,0,0.545454545,6.837586207,10,24,1,3,43,2,6,2,1.03125,0,0.05179704,0.833333333,35,0,24,0.675165517,0,6,4,6,0,1,20,0,61,2,3,4,0,0,32.4878,1,0,0,5,0,4,0,1,6,0,0,0,1,49,34,1,0,19.5798,44.82758621,0,2,1
5,19,232.21,196,8.293214286,0.638396429,1.157896429,0.034482759,17.8751,120,10.71428571,46.42857143,32.4211,14.28571429,0.733333333,340.45,25,150,0.3125,4,2,198.29,1,0.714285714,2,180,2,1,6.947959184,8,0,0.333333333,6.837586207,5,6,4,3,13,2,7,1,1,0,0.152380952,1,4,2,5,0.675165517,0,0,6,2,0,0,0,0,19.5,2,2,0,0,1,32.4878,1,0,0,2,6,0,1,1,1,0,0,0,0,16,7,0,0,19.5798,44.82758621,0,2,1
5,19,274.27,196,8.066764706,0.709897059,1.108044118,0.027777778,24.1365,120,8.823529412,44.11764706,37.6735,0,0.736842105,340.45,44.11764706,150,0.571428571,4,2,198.29,1,0.2,2,180,1,1,6.947959184,4,0.285714286,0.631578947,6.837586207,3,13,0,3,15,2,14,1,1.285714286,2,0.122807018,0.333333333,6,1,12,0.675165517,0,0,3,0,0,0,6,2,28,2,0,4,0,1,32.4878,0,0,2,1,6,6,0,1,1,1,1,1,0,21,15,0,1,19.5798,44.82758621,0,2,1
5,19,282.16,196,8.8175,0.59694375,1.170025,0,19.1022,120,25,50,37.4408,6.25,0.375,340.45,12.5,150,0,8,2,198.29,0,1,2,180,8,2,6.947959184,12,0,0,6.837586207,4,2,2,8,16,2,0,2,1,0,0.116666667,1,8,8,0,0.675165517,0,0,8,4,0,0,0,0,16,0,0,0,0,2,32.4878,0,0,0,1,0,0,0,1,2,4,0,4,0,14,4,0,0,19.5798,44.82758621,0,0,1
5,19,337.33,196,8.43325,0.728555,1.104295,0.046511628,29.1422,120,7.5,40,44.1718,2.5,0.833333333,340.45,47.5,150,0.666666667,3,2,198.29,2,0.052631579,2,180,3,1,6.947959184,5,0.2,0.75,6.837586207,1,19,1,3,16,2,14,1,1.2,1,0.097826087,0.5,12,3,18,0.675165517,1,0,4,0,0,0,12,1,37,0,0,5,0,1,32.4878,0,1,2,2,0,6,0,1,1,1,0,1,0,27,19,0,1,19.5798,44.82758621,0,0,1
